,"Post-op Sz Freedom (Engel Ia, Ib; ILAE 1, 2)","Concordant Neurophys & Imaging (MRI, PET, SPECT)",sEEG (y) and/or ES (ES),Reference,Relevant Tot Sample,Tot Pt included,Reported Semiology,Semiology Category,Ground truth description,Lateralising,CL,IL,BL (Non-lateralising),DomH,NonDomH,Localising,Reported Localisation,TL,Anterior (temporal pole),Lateral Temporal,"STG (includes Transverse Temporal Gyrus, Both Planum)","Transverse Temporal Gyrus (Heschl's, BA 41,  42, ?opercula)",Planum Temporale,Planum Polare,MTG,ITG,Mesial Temporal,Ant Mesial Temporal,Post Mesial Temporal,Enthorinal Cortex,Fusiform,AMYGD,PARAHIPPOCAMPUS,HIPPOCAMPUS,Posterior Temporal,Basal (including Fusiform OTMG),OTMG (fusiform),FL,frontal pole,"Pre-frontal (BA 8, 9, 10, 11, 12, 13, 14, 24, 25, 32, 44, 45, 46, 47)","DL-PFC (BA 46) (include subgroups BA 9, 8, 10 - frontopolar/anterior prefrontal)",gyrus rectus (basal = gyrus rectus and OFC),"Orbito-frontal (BA 10, 11, 12/47) (basal = gyrus rectus and OFC)",Post OF,Lat OF,Med OF,Medial Frontal (include medial premotor and its constituents as its subsets),"Primary Motor Cortex (Pre-central gyrus, BA 4, Rolandic)",medial precentral,Rolandic Operculum (low BA4),SFG (F1),Med SFG,Post SFG,Ant SFG,MFG (F2),Ant MFG,Mid MFG,Post MFG,"IFG (F3)
(BA 44,45,47)","Pars orbitalis (subgroup of IFG)
(BA 47)",Pars Triangularis (subgroup IFG),"Pars opercularis (BA 44)(subgroup IFG, ?opercula)",Premotor frontal (posterior frontal),"Ant Premotor (BA 8, frontal-eye-fields)","Lateral Premotor
(BA 6)",Medial Premotor (including pre SMA),"SMA (pre-central gyrus; posterior SFG, MFG)",SSMA,CING,Cingulum (WM),"Ant Cing (frontal, genu)",Dorsal Ant Cing (BA 32),Middle Cingulate,Post Cing,Isthmus,PL,Primary Sensory Cortex (post-central gyrus),medial anterior parietal,Sup. pariet. lobule,Precuneus (medial post sup parietal lobule),Inferior Parietal Lobule,Supramarg gyrus (post part of parietal operculum),Angular gyrus (BA 39),parietal operculum (ceiling of secondary somatosensory cortex),OL,Mesial Occipital,Lingual gyrus  (medial and basal),Cuneus,"Lateral Occipital (SOG, IOG, LOG)",Posterior Occipital Gyrus,Superior Occipital Gyrus,INSULA,Ant Ins,Anterior Short Gyrus,Middle Short Gyrus,Post short gyrus,Precentral gyrus,Postcentral gyrus,Posterior long gyrus,Hypothalamus,Sub-Callosal Cortex,Cerebellum,Hemisphere,Vermis,FT,TO,TP,FTP,TPO Junction,PO,FP,Perisylvian,paper including paediatric  age group (0-17) or individual data from pt 0-17,paediatric subgroup <7 years (0-6 yrs) y/n,# tot pt in the paper,# pt excluded,# pt sz free post-surg,Cortical Stimulation (CS),Spontaneous Semiology (SS),Epilepsy Topology (ET),"Other factors (e.g. Abs, genetic mutations)",Year,Color,Labels,Priors,AGE,OTHER,SemioDict Key
10,,y,,"Agarwal P, Kaul B, Shukla G, et al. Lateralizing value of unilateral relative ictal immobility in patients with refractory focal seizures--Looking beyond unilateral automatisms. Seizure 2015;33:66-71.",,,hypermotor,Hypermotor,100% concordance with VEEG and MRI data; and/or good post-surgical outcome (Engel Class I),,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2015,#F27420,Concordance Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Hypermotor
11,,y,,"Agarwal P, Kaul B, Shukla G, et al. Lateralizing value of unilateral relative ictal immobility in patients with refractory focal seizures--Looking beyond unilateral automatisms. Seizure 2015;33:66-71.",,,vertiginous,Vestibular,100% concordance with VEEG and MRI data; and/or good post-surgical outcome (Engel Class I),,,,,,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2015,#F27420,Concordance Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Vestibular
12,y,y,y,"Aghakhani Y, Rosati A, Olivier A, et al. The predictive localizing value of tonic limb posturing in supplementary sensorimotor seizures. Neurology 2004;62:2256-2261.",14,3.0,"unilateral arm extension and elevation, IPL arm flexion and elevation",Asymmetric Tonic,good post-surg outcome (Engle Class Ia) with/ without congruent sEEG and imaging,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,3,,y,,,2004,#F27420,All 3 Ground Truths,Spontaneous Semiology (SS),Unlabelled Age,,Asymmetric Tonic
13,y,y,y,"Aghakhani Y, Rosati A, Olivier A, et al. The predictive localizing value of tonic limb posturing in supplementary sensorimotor seizures. Neurology 2004;62:2256-2261.",,,bilateral arm extension and elevation,Tonic,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2004,#F27420,All 3 Ground Truths,Spontaneous Semiology (SS),Unlabelled Age,,Tonic
14,y,,,"Aghakhani Y, Rosati A, Olivier A, et al. The predictive localizing value of tonic limb posturing in supplementary sensorimotor seizures. Neurology 2004;62:2256-2261.",,,hand somatosensory aura ,Aura (Somatosensory),Engel Ia,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2004,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Somatosensory
15,y,y,y,"Aghakhani Y, Rosati A, Olivier A, et al. The predictive localizing value of tonic limb posturing in supplementary sensorimotor seizures. Neurology 2004;62:2256-2261.",,,head deviation,Head Version,,3.0,2.0,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2004,#F27420,All 3 Ground Truths,Spontaneous Semiology (SS),Unlabelled Age,0.0,Head Version
16,y,y,y,"Aghakhani Y, Rosati A, Olivier A, et al. The predictive localizing value of tonic limb posturing in supplementary sensorimotor seizures. Neurology 2004;62:2256-2261.",,,vocalisation,Vocalisation,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2004,#F27420,All 3 Ground Truths,Spontaneous Semiology (SS),Unlabelled Age,0.0,Vocalisation
17,y,,,"Aghakhani Y, Rosati A, Olivier A, et al. The predictive localizing value of tonic limb posturing in supplementary sensorimotor seizures. Neurology 2004;62:2256-2261.",,,clonic jerks,Clonic ,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2004,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Clonic
18,y,,,"Aghakhani Y, Rosati A, Olivier A, et al. The predictive localizing value of tonic limb posturing in supplementary sensorimotor seizures. Neurology 2004;62:2256-2261.",,,postictal motor deficit,Postictal Hemiparesis,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2004,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Postictal Hemiparesis or Hemiplegia
19,y,,,"Alkawadri R, So NK, Van Ness PC, et al. Cingulate epilepsy: report of 3 electroclinical subtypes with surgical outcomes. JAMA Neurol 2013;70:995-1002.",8,8.0,aura with fear,Fear-Anxiety,lesional MRI and sz free post-lesionectomy (Engel I),,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,6,,,y,,,2013,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Fear-Anxiety
20,y,,,"Alkawadri R, So NK, Van Ness PC, et al. Cingulate epilepsy: report of 3 electroclinical subtypes with surgical outcomes. JAMA Neurol 2013;70:995-1002.",,,aura with lightheadedness,lightheadedness,lesional MRI and sz free post-lesionectomy (Engel I),,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2013,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Non-Specific Aura
21,y,,,"Alkawadri R, So NK, Van Ness PC, et al. Cingulate epilepsy: report of 3 electroclinical subtypes with surgical outcomes. JAMA Neurol 2013;70:995-1002.",,,aura with depersonalisation,Psychic,lesional MRI and sz free post-lesionectomy (Engel I),,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2013,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Psychic
22,y,,,"Alkawadri R, So NK, Van Ness PC, et al. Cingulate epilepsy: report of 3 electroclinical subtypes with surgical outcomes. JAMA Neurol 2013;70:995-1002.",,,aura with deja vu. (deja vu),Psychic,lesional MRI and sz free post-lesionectomy (Engel I),,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2013,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Psychic
23,y,,,"Alkawadri R, So NK, Van Ness PC, et al. Cingulate epilepsy: report of 3 electroclinical subtypes with surgical outcomes. JAMA Neurol 2013;70:995-1002.",,,aura with jamais vu,Psychic,lesional MRI and sz free post-lesionectomy (Engel I),,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2013,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Psychic
24,y,,,"Alkawadri R, So NK, Van Ness PC, et al. Cingulate epilepsy: report of 3 electroclinical subtypes with surgical outcomes. JAMA Neurol 2013;70:995-1002.",,,abdominal aura,Epigastric Aura,lesional MRI and sz free post-lesionectomy (Engel I),,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2013,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Epigastric
25,y,,,"Alkawadri R, So NK, Van Ness PC, et al. Cingulate epilepsy: report of 3 electroclinical subtypes with surgical outcomes. JAMA Neurol 2013;70:995-1002.",,,gustatory aura,Aura (Gustatory),lesional MRI and sz free post-lesionectomy (Engel I),,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2013,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Gustatory
26,y,,,"Alkawadri R, So NK, Van Ness PC, et al. Cingulate epilepsy: report of 3 electroclinical subtypes with surgical outcomes. JAMA Neurol 2013;70:995-1002.",,,sensory aura,Somatosensory,lesional MRI and sz free post-lesionectomy (Engel I),,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2013,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Somatosensory
27,y,,,"Alkawadri R, So NK, Van Ness PC, et al. Cingulate epilepsy: report of 3 electroclinical subtypes with surgical outcomes. JAMA Neurol 2013;70:995-1002.",,,aura with falling,"Non-Specific Aura, Astatic",lesional MRI and sz free post-lesionectomy (Engel I),,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2013,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Non-Specific Aura
28,y,,,"Alkawadri R, So NK, Van Ness PC, et al. Cingulate epilepsy: report of 3 electroclinical subtypes with surgical outcomes. JAMA Neurol 2013;70:995-1002.",,,aura with frightened look ,Mimetic,lesional MRI and sz free post-lesionectomy (Engel I),,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2013,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Mimetic Automatisms
29,y,,,"Alkawadri R, So NK, Van Ness PC, et al. Cingulate epilepsy: report of 3 electroclinical subtypes with surgical outcomes. JAMA Neurol 2013;70:995-1002.",,,hypermotor,Hypermotor,lesional MRI and sz free post-lesionectomy (Engel I),,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2013,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Hypermotor
30,y,,,"Alkawadri R, So NK, Van Ness PC, et al. Cingulate epilepsy: report of 3 electroclinical subtypes with surgical outcomes. JAMA Neurol 2013;70:995-1002.",,,IL hand automatism,Upper Limb Automatisms,lesional MRI and sz free post-lesionectomy (Engel I),1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2013,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Automatism - Automotor Manual
31,y,,,"Alkawadri R, So NK, Van Ness PC, et al. Cingulate epilepsy: report of 3 electroclinical subtypes with surgical outcomes. JAMA Neurol 2013;70:995-1002.",,,bilateral asymmetric tonic,Asymmetric Tonic,lesional MRI and sz free post-lesionectomy (Engel I),2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2013,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Asymmetric Tonic
32,y,,,"Alkawadri R, So NK, Van Ness PC, et al. Cingulate epilepsy: report of 3 electroclinical subtypes with surgical outcomes. JAMA Neurol 2013;70:995-1002.",,,dialeptic,Dialeptic,lesional MRI and sz free post-lesionectomy (Engel I),,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2013,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Dialeptic/LOA
33,y,,,"Alkawadri R, So NK, Van Ness PC, et al. Cingulate epilepsy: report of 3 electroclinical subtypes with surgical outcomes. JAMA Neurol 2013;70:995-1002.",,,early loud vocalisation,Vocalisation,lesional MRI and sz free post-lesionectomy (Engel I),,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,2013,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Vocalisation
34,y,,,"Alqadi K, Sankaraneni R, Thome U, et al. Semiology of hypermotor (hyperkinetic) seizures. Epilepsy Behav 2016;54:137-141.",12,12.0,hypermotor,Hypermotor,,,,,,,,12.0,,2.5714285714285716,,,,,,,,,,,,,,,,,,,,6.000000000000002,,,,,2.0,,,,,,,,1.0,,,,1.0,,,,,,,,2.0,,3.0,,,,,,,,,,,1.7142857142857146,,,,,,,,,0.8571428571428573,,,,,,,0.8571428571428573,,,,,,,,,,,,,,,,,,,,,,,17.0,5,12,,y,,,2016,#F27420,Seizure-Freedom Only,Spontaneous Semiology (SS),Unlabelled Age,0.0,Hypermotor
